"No","year","month","day","hour","pm2.5","No","avg","std"
7681,2010,11,17,0,264,7681,213.33333333333334,12.918548250050732
7691,2010,11,17,10,154,7691,133.33333333333334,3.68178700572909
7692,2010,11,17,11,197,7692,138.66666666666666,10.964589468932354
7693,2010,11,17,12,247,7693,160,28.083209693100727
7696,2010,11,17,15,400,7696,288.6666666666667,34.29609631171195
7705,2010,11,18,0,521,7705,503.3333333333333,0.9428090415820667
7712,2010,11,18,7,362,7712,352.3333333333333,1.6996731711975968
7721,2010,11,18,16,324,7721,306,1.4142135623730951
7722,2010,11,18,17,361,7722,311.6666666666667,8.806563209081931
7723,2010,11,18,18,438,7723,330.6666666666667,22.543784558547884
7729,2010,11,19,0,535,7729,477.3333333333333,5.249338582674545
7738,2010,11,19,9,501,7738,461.6666666666667,6.128258770283408
7739,2010,11,19,10,559,7739,477.6666666666667,16.499158227686102
7749,2010,11,19,20,159,7749,108,11.51810169544733
7751,2010,11,19,22,277,7751,158,28.178005607210743
7752,2010,11,19,23,371,7752,209.33333333333334,49.708036461812576
7770,2010,11,20,17,241,7770,208,6.97614984548545
7771,2010,11,20,18,280,7771,221.66666666666666,14.267289706021801
7778,2010,11,21,1,462,7778,434.3333333333333,2.624669291337268
7797,2010,11,21,20,18,7797,11.333333333333334,0.47140452079103146
7804,2010,11,22,3,49,7804,22.333333333333332,2.494438257849294
7810,2010,11,22,9,80,7810,69.33333333333333,2.8674417556808756
7817,2010,11,22,16,43,7817,28.333333333333332,3.681787005729087
7818,2010,11,22,17,73,7818,31.666666666666668,8.178562764256865
7821,2010,11,22,20,91,7821,72,2.160246899469287
7822,2010,11,22,21,123,7822,78,9.41629792788369
7823,2010,11,22,22,181,7823,96,20.314198646923455
7843,2010,11,23,18,258,7843,208.66666666666666,6.548960901462837
7861,2010,11,24,12,18,7861,17,0
7868,2010,11,24,19,30,7868,13.666666666666666,1.6996731711975948
7880,2010,11,25,7,45,7880,24.333333333333332,2.6246692913372702
7881,2010,11,25,8,62,7881,30,10.614455552060438
7890,2010,11,25,17,63,7890,54.333333333333336,2.054804667656326
7891,2010,11,25,18,105,7891,56.333333333333336,4.78423336480244
7894,2010,11,25,21,146,7894,105,0.816496580927726
7895,2010,11,25,22,177,7895,118.66666666666667,19.344824171395878
7905,2010,11,26,8,94,7905,70.66666666666667,7.363574011458172
7909,2010,11,26,12,124,7909,95,1.4142135623730951
7915,2010,11,26,18,148,7915,130.66666666666666,3.299831645537219
7917,2010,11,26,20,206,7917,144.66666666666666,13.274871834493254
7937,2010,11,27,16,12,7937,8,0.816496580927726
7938,2010,11,27,17,18,7938,9.666666666666666,1.699673171197595
7939,2010,11,27,18,32,7939,13,3.7416573867739413
7946,2010,11,28,1,59,7946,46,0.816496580927726
7947,2010,11,28,2,83,7947,50.666666666666664,5.906681715556451
7953,2010,11,28,8,97,7953,72.33333333333333,6.236095644623237
7954,2010,11,28,9,142,7954,80,13.490737563232042
7960,2010,11,28,15,184,7960,141.66666666666666,4.92160768674447
7963,2010,11,28,18,268,7963,205,18.49324200890693
7966,2010,11,28,21,354,7966,288.3333333333333,20.270394394014367
7969,2010,11,29,0,443,7969,364.3333333333333,10.65624490876386
7981,2010,11,29,12,136,7981,122,1.4142135623730951
7986,2010,11,29,17,130,7986,104,5.354126134736337
7987,2010,11,29,18,168,7987,113,13.140268896284683
7992,2010,11,29,23,213,7992,173,0.816496580927726
8003,2010,11,30,10,182,8003,168,2.8284271247461903
8004,2010,11,30,11,240,8004,172,7.483314773547883
8011,2010,11,30,18,247,8011,238.33333333333334,2.6246692913372724
8017,2010,12,1,0,259,8017,247,2.8284271247461903
8024,2010,12,1,7,245,8024,238.66666666666666,0.47140452079103334
8031,2010,12,1,14,276,8031,261,2.449489742783178
8038,2010,12,1,21,288,8038,267,2.943920288775949
8060,2010,12,2,19,17,8060,13,0.816496580927726
8061,2010,12,2,20,21,8061,14.666666666666666,1.699673171197595
8063,2010,12,2,22,25,8063,18.333333333333332,1.8856180831641265
8071,2010,12,3,6,28,8071,13.333333333333334,2.0548046676563256
8074,2010,12,3,9,107,8074,35,5.354126134736337
8078,2010,12,3,13,73,8078,72,0
8083,2010,12,3,18,88,8083,66,5.715476066494082
8084,2010,12,3,19,146,8084,76,8.524474568362947
8095,2010,12,4,6,158,8095,126.33333333333333,3.0912061651652327
8105,2010,12,4,16,127,8105,118.33333333333333,2.054804667656327
8106,2010,12,4,17,173,8106,122,3.7416573867739413
8107,2010,12,4,18,216,8107,140.33333333333334,23.228335186912457
8110,2010,12,4,21,281,8110,232.33333333333334,13.072447700751717
8126,2010,12,5,13,27,8126,18.666666666666668,2.494438257849294
8144,2010,12,6,7,17,8144,9.333333333333334,0.4714045207910318
8147,2010,12,6,10,19,8147,15.666666666666666,0.9428090415820632
8155,2010,12,6,18,16,8155,13,0.816496580927726
8156,2010,12,6,19,20,8156,13.666666666666666,1.699673171197595
8157,2010,12,6,20,32,8157,16,3.265986323710904
8161,2010,12,7,0,61,8161,43.333333333333336,2.494438257849294
8167,2010,12,7,6,76,8167,44,1.4142135623730951
8184,2010,12,7,23,67,8184,52.333333333333336,2.8674417556808756
8185,2010,12,8,0,93,8185,58.333333333333336,6.342099196813481
8195,2010,12,8,10,38,8195,24.333333333333332,3.8586123009300755
8205,2010,12,8,20,29,8205,17,2.943920288775949
8206,2010,12,8,21,61,8206,20.666666666666668,6.548960901462833
8209,2010,12,9,0,116,8209,63.333333333333336,10.338708279513881
8212,2010,12,9,3,151,8212,124.66666666666667,6.599663291074442
8217,2010,12,9,8,185,8217,153.66666666666666,1.2472191289246497
8220,2010,12,9,11,212,8220,163.33333333333334,16.21384867602041
8226,2010,12,9,17,238,8226,216.33333333333334,3.858612300930073
8237,2010,12,10,4,231,8237,215,2.449489742783178
8258,2010,12,11,1,36,8258,17.333333333333332,1.247219128924647
8262,2010,12,11,5,22,8262,16,1.632993161855452
8266,2010,12,11,9,35,8266,21.666666666666668,1.8856180831641265
8267,2010,12,11,10,47,8267,25.666666666666668,6.79869268479038
8271,2010,12,11,14,49,8271,39,2.160246899469287
8277,2010,12,11,20,82,8277,43.333333333333336,7.7602978178818764
8278,2010,12,11,21,116,8278,59.333333333333336,16.539514973407037
8296,2010,12,12,15,118,8296,100,3.7416573867739413
8301,2010,12,12,20,139,8301,114.66666666666667,5.436502143433362
8303,2010,12,12,22,179,8303,133.66666666666666,8.259674462242579
8311,2010,12,13,6,10,8311,7,0.816496580927726
8312,2010,12,13,7,16,8312,7.666666666666667,1.699673171197595
8326,2010,12,13,21,27,8326,19.333333333333332,2.054804667656326
8337,2010,12,14,8,23,8337,17,1.632993161855452
8358,2010,12,15,5,15,8358,13.333333333333334,0.4714045207910318
8361,2010,12,15,8,18,8361,13.666666666666666,0.9428090415820632
8363,2010,12,15,10,23,8363,16,2.160246899469287
8366,2010,12,15,13,25,8366,22.333333333333332,0.47140452079103146
8372,2010,12,15,19,43,8372,17.333333333333332,4.784233364802441
8383,2010,12,16,6,40,8383,25.333333333333332,2.357022603955159
8387,2010,12,16,10,54,8387,40,0.816496580927726
8392,2010,12,16,15,89,8392,57,5.354126134736337
8407,2010,12,17,6,42,8407,34.666666666666664,0.9428090415820629
8409,2010,12,17,8,71,8409,38.666666666666664,3.39934634239519
8416,2010,12,17,15,93,8416,74.33333333333333,3.3993463423951913
8418,2010,12,17,17,136,8418,86.33333333333333,5.734883511361751
8421,2010,12,17,20,205,8421,138.66666666666666,4.496912521077351
8422,2010,12,17,21,282,8422,161.66666666666666,30.912061651652348
8438,2010,12,18,13,224,8438,206,4.08248290463863
8443,2010,12,18,18,302,8443,256.6666666666667,9.463379711052253
8448,2010,12,18,23,454,8448,298,7.483314773547883
8467,2010,12,19,18,34,8467,16,4.898979485566356
8468,2010,12,19,19,64,8468,20,10.198039027185569
8470,2010,12,19,21,104,8470,52.333333333333336,13.12334645668635
8474,2010,12,20,1,187,8474,143.66666666666666,14.290634073484014
8477,2010,12,20,4,233,8477,197.66666666666666,7.9302515022468825
8481,2010,12,20,8,254,8481,223.66666666666666,4.496912521077351
8482,2010,12,20,9,311,8482,234.66666666666666,14.267289706021801
8492,2010,12,20,19,138,8492,112,5.715476066494082
8494,2010,12,20,21,237,8494,133.33333333333334,13.474255287605157
8497,2010,12,21,0,410,8497,264.3333333333333,33.15954697452237
8508,2010,12,21,11,430,8508,232,25.13961017995307
8513,2010,12,21,16,474,8513,430.3333333333333,6.182412330330467
8540,2010,12,22,19,27,8540,14.666666666666666,1.699673171197595
8548,2010,12,23,3,12,8548,10,0
8552,2010,12,23,7,17,8552,11.333333333333334,1.247219128924647
8557,2010,12,23,12,24,8557,18.666666666666668,1.6996731711975945
8560,2010,12,23,15,33,8560,24.333333333333332,0.47140452079103146
8564,2010,12,23,19,42,8564,22,1.4142135623730951
8578,2010,12,24,9,27,8578,22.666666666666668,1.2472191289246475
8579,2010,12,24,10,34,8579,23.666666666666668,2.494438257849294
8586,2010,12,24,17,51,8586,23,2.449489742783178
8587,2010,12,24,18,71,8587,33.333333333333336,12.552113589175153
8590,2010,12,24,21,103,8590,72.66666666666667,2.3570226039551567
8593,2010,12,25,0,135,8593,110,5.354126134736337
8603,2010,12,25,10,25,8603,19.666666666666668,0.9428090415820629
8604,2010,12,25,11,35,8604,21.666666666666668,2.494438257849294
8610,2010,12,25,17,89,8610,22.333333333333332,2.6246692913372702
8613,2010,12,25,20,121,8613,95.33333333333333,6.342099196813484
8616,2010,12,25,23,135,8616,116.33333333333333,4.1096093353126495
8617,2010,12,26,0,163,8617,121,10.198039027185569
8626,2010,12,26,9,30,8626,26.333333333333332,0.9428090415820636
8630,2010,12,26,13,48,8630,30.333333333333332,1.247219128924647
8643,2010,12,27,2,130,8643,77.66666666666667,13.274871834493249
8662,2010,12,27,21,29,8662,19,2.160246899469287
8672,2010,12,28,7,19,8672,15.666666666666666,0.4714045207910318
8676,2010,12,28,11,21,8676,15.666666666666666,1.699673171197595
8683,2010,12,28,18,34,8683,18.333333333333332,3.091206165165235
8686,2010,12,28,21,88,8686,34.666666666666664,3.2998316455372225
8695,2010,12,29,6,40,8695,33,1.4142135623730951
8697,2010,12,29,8,49,8697,38.666666666666664,3.3993463423951904
8698,2010,12,29,9,67,8698,43.666666666666664,3.858612300930076
8709,2010,12,29,20,22,8709,15.333333333333334,2.054804667656325
8719,2010,12,30,6,15,8719,14,0
8726,2010,12,30,13,23,8726,15.333333333333334,2.0548046676563256
8733,2010,12,30,20,23,8733,17,1.632993161855452
8755,2010,12,31,18,28,8755,19,0.816496580927726
8760,2010,12,31,23,22,8760,17.333333333333332,1.2472191289246468
8793,2011,1,2,8,22,8793,15,1.4142135623730951
8797,2011,1,2,12,31,8797,23.666666666666668,1.247219128924647
8798,2011,1,2,13,37,8798,26.666666666666668,3.091206165165234
8803,2011,1,2,18,52,8803,36.333333333333336,3.299831645537221
8804,2011,1,2,19,63,8804,43,6.48074069840786
8812,2011,1,3,3,143,8812,76,8.286535263104035
8822,2011,1,3,13,134,8822,95,7.483314773547883
8828,2011,1,3,19,255,8828,182.33333333333334,5.436502143433361
8834,2011,1,4,1,275,8834,231,3.559026084010437
8843,2011,1,4,10,89,8843,66.66666666666667,6.12825877028341
8879,2011,1,5,22,30,8879,16.666666666666668,0.47140452079103146
8890,2011,1,6,9,14,8890,8,1.4142135623730951
8893,2011,1,6,12,18,8893,13.666666666666666,0.47140452079103146
8901,2011,1,6,20,27,8901,21,0.816496580927726
8908,2011,1,7,3,27,8908,17,0.816496580927726
8913,2011,1,7,8,44,8913,21,5.887840577551898
8923,2011,1,7,18,69,8923,55.333333333333336,0.9428090415820642
8926,2011,1,7,21,92,8926,75.66666666666667,4.714045207910316
8928,2011,1,7,23,109,8928,85.66666666666667,5.312459150169742
8931,2011,1,8,2,156,8931,118.33333333333333,7.03957069398096
8943,2011,1,8,14,26,8943,21.333333333333332,1.2472191289246475
8994,2011,1,10,17,50,8994,43,0
8995,2011,1,10,18,70,8995,46.5,3.5
8998,2011,1,10,21,106,8998,75.66666666666667,8.730533902472528
9011,2011,1,11,10,18,9011,14,0.816496580927726
9012,2011,1,11,11,21,9012,15.666666666666666,1.699673171197595
9023,2011,1,11,22,37,9023,21,0.816496580927726
9024,2011,1,11,23,54,9024,26.333333333333332,7.586537784494029
9031,2011,1,12,6,49,9031,33.666666666666664,2.8674417556808764
9032,2011,1,12,7,62,9032,40,6.48074069840786
9034,2011,1,12,9,74,9034,56.666666666666664,5.557777333511022
9036,2011,1,12,11,86,9036,64.66666666666667,6.649979114420002
9045,2011,1,12,20,66,9045,49.666666666666664,4.109609335312651
9046,2011,1,12,21,96,9046,56.666666666666664,7.039570693980959
9049,2011,1,13,0,144,9049,106.66666666666667,12.364824660660936
9050,2011,1,13,1,252,9050,122.66666666666667,17.987650084309387
9057,2011,1,13,8,168,9057,142,4.96655480858378
9069,2011,1,13,20,95,9069,65.33333333333333,6.182412330330471
9070,2011,1,13,21,120,9070,77,13.638181696985855
9082,2011,1,14,9,19,9082,15,0.816496580927726
9099,2011,1,15,2,15,9099,11.666666666666666,0.4714045207910318
9106,2011,1,15,9,18,9106,10.666666666666666,0.4714045207910318
9116,2011,1,15,19,21,9116,14.666666666666666,0.4714045207910318
9117,2011,1,15,20,27,9117,17,2.8284271247461903
9128,2011,1,16,7,19,9128,13,0
9131,2011,1,16,10,26,9131,15.666666666666666,3.39934634239519
9134,2011,1,16,13,37,9134,27.333333333333332,2.6246692913372707
9138,2011,1,16,17,56,9138,36.333333333333336,4.496912521077347
9145,2011,1,17,0,107,9145,73.33333333333333,2.867441755680877
9165,2011,1,17,20,26,9165,18,1.4142135623730951
9172,2011,1,18,3,13,9172,12,0
9174,2011,1,18,5,16,9174,12.666666666666666,0.4714045207910318
9177,2011,1,18,8,24,9177,17,0.816496580927726
9178,2011,1,18,9,31,9178,19.666666666666668,3.091206165165234
9188,2011,1,18,19,21,9188,18,0.816496580927726
9189,2011,1,18,20,28,9189,18.666666666666668,1.6996731711975945
9211,2011,1,19,18,16,9211,12.666666666666666,0.47140452079103146
9213,2011,1,19,20,24,9213,15.333333333333334,2.494438257849294
9215,2011,1,19,22,34,9215,19.333333333333332,3.3993463423951895
9226,2011,1,20,9,26,9226,18.333333333333332,2.357022603955158
9229,2011,1,20,12,44,9229,26,0.816496580927726
9233,2011,1,20,16,47,9233,24.333333333333332,4.109609335312651
9239,2011,1,20,22,91,9239,75.33333333333333,4.98887651569859
9241,2011,1,21,0,124,9241,91,7.3484692283495345
9252,2011,1,21,11,42,9252,33,2.160246899469287
9258,2011,1,21,17,67,9258,34,2.943920288775949
9259,2011,1,21,18,102,9259,46.333333333333336,14.636332266733431
9260,2011,1,21,19,155,9260,68.66666666666667,26.562295750848712
9263,2011,1,21,22,170,9263,151,4.96655480858378
9271,2011,1,22,6,61,9271,46,3.559026084010437
9273,2011,1,22,8,88,9273,57.333333333333336,9.741092797468305
9297,2011,1,23,8,12,9297,10.333333333333334,0.4714045207910318
9298,2011,1,23,9,14,9298,10.666666666666666,0.9428090415820636
9302,2011,1,23,13,21,9302,14,0.816496580927726
9316,2011,1,24,3,19,9316,10.333333333333334,0.9428090415820632
9319,2011,1,24,6,27,9319,21,1.632993161855452
9321,2011,1,24,8,43,9321,25.666666666666668,1.8856180831641265
9326,2011,1,24,13,49,9326,30,4.242640687119285
9327,2011,1,24,14,71,9327,37.333333333333336,9.030811456096044
9333,2011,1,24,20,70,9333,52.333333333333336,4.496912521077347
9337,2011,1,25,0,109,9337,86.66666666666667,6.944222218666551
9349,2011,1,25,12,23,9349,12.666666666666666,0.4714045207910318
9357,2011,1,25,20,25,9357,13.333333333333334,2.6246692913372702
9362,2011,1,26,1,37,9362,32.333333333333336,1.2472191289246464
9368,2011,1,26,7,41,9368,22.666666666666668,2.357022603955158
9369,2011,1,26,8,82,9369,29.333333333333332,8.498365855987975
9376,2011,1,26,15,71,9376,51.666666666666664,4.027681991198191
9380,2011,1,26,19,103,9380,87,4.320493798938574
9381,2011,1,26,20,132,9381,93.66666666666667,7.363574011458172
9386,2011,1,27,1,161,9386,127.33333333333333,8.178562764256865
9395,2011,1,27,10,23,9395,18.666666666666668,0.47140452079103146
9405,2011,1,27,20,26,9405,11.666666666666666,0.47140452079103146
9408,2011,1,27,23,32,9408,21.666666666666668,3.091206165165235
9416,2011,1,28,7,31,9416,22,1.4142135623730951
9429,2011,1,28,20,16,9429,12.333333333333334,0.4714045207910318
9440,2011,1,29,7,11,9440,4.333333333333333,2.0548046676563256
9443,2011,1,29,10,16,9443,9.333333333333334,1.247219128924647
9444,2011,1,29,11,27,9444,11,3.559026084010437
9447,2011,1,29,14,42,9447,19,6.531972647421808
9453,2011,1,29,20,16,9453,10.666666666666666,1.2472191289246473
9457,2011,1,30,0,21,9457,9.333333333333334,0.4714045207910318
9465,2011,1,30,8,17,9465,8.333333333333334,0.47140452079103146
9468,2011,1,30,11,24,9468,19,1.632993161855452
9476,2011,1,30,19,37,9476,13.333333333333334,2.054804667656325
9488,2011,1,31,7,25,9488,12.666666666666666,2.054804667656325
9489,2011,1,31,8,43,9489,16,6.48074069840786
9498,2011,1,31,17,28,9498,18.666666666666668,1.699673171197595
9500,2011,1,31,19,46,9500,23.333333333333332,4.109609335312651
9525,2011,2,1,20,42,9525,27,3.559026084010437
9528,2011,2,1,23,59,9528,46.666666666666664,3.299831645537222
9529,2011,2,2,0,84,9529,52.333333333333336,4.714045207910316
9532,2011,2,2,3,95,9532,75.66666666666667,6.0184900284225975
9540,2011,2,2,11,60,9540,45,2.449489742783178
9549,2011,2,2,20,44,9549,22,4.96655480858378
9550,2011,2,2,21,89,9550,30.333333333333332,10.656244908763854
9554,2011,2,3,1,348,9554,65.66666666666667,6.599663291074442
9561,2011,2,3,8,39,9561,25.333333333333332,2.6246692913372702
9567,2011,2,3,14,44,9567,31.333333333333332,3.3993463423951895
9569,2011,2,3,16,78,9569,39.666666666666664,8.339997335464536
9571,2011,2,3,18,146,9571,75,21.740898478827106
9574,2011,2,3,21,250,9574,152,10.677078252031311
9578,2011,2,4,1,378,9578,292,4.96655480858378
9587,2011,2,4,10,102,9587,82,3.7416573867739413
9595,2011,2,4,18,196,9595,28.333333333333332,5.185449728701348
9605,2011,2,5,4,63,9605,51.333333333333336,3.8586123009300746
9611,2011,2,5,10,97,9611,89.66666666666667,2.0548046676563243
9615,2011,2,5,14,130,9615,104.66666666666667,3.6817870057290856
9618,2011,2,5,17,165,9618,140.66666666666666,7.58653778449403
9624,2011,2,5,23,201,9624,162.33333333333334,8.339997335464533
9632,2011,2,6,7,34,9632,19.333333333333332,2.054804667656326
9634,2011,2,6,9,54,9634,29,5.0990195135927845
9645,2011,2,6,20,35,9645,21,0.816496580927726
9647,2011,2,6,22,69,9647,32,8.831760866327848
9653,2011,2,7,4,122,9653,108.66666666666667,1.8856180831641258
9660,2011,2,7,11,131,9660,113.66666666666667,3.299831645537222
9661,2011,2,7,12,151,9661,118,9.273618495495704
9669,2011,2,7,20,200,9669,95.33333333333333,13.274871834493252
9670,2011,2,7,21,288,9670,126,53.23532661682466
9678,2011,2,8,5,162,9678,127.33333333333333,4.921607686744467
9694,2011,2,8,21,100,9694,33.666666666666664,12.472191289246473
9695,2011,2,8,22,148,9695,61.333333333333336,27.644569488820444
9703,2011,2,9,6,199,9703,170,5.354126134736337
9725,2011,2,10,4,44,9725,29.333333333333332,0.9428090415820636
9730,2011,2,10,9,66,9730,42.333333333333336,7.408703590297622
9733,2011,2,10,12,81,9733,70,3.265986323710904
9739,2011,2,10,18,83,9739,77.66666666666667,1.247219128924646
9740,2011,2,10,19,90,9740,80,2.160246899469287
9745,2011,2,11,0,107,9745,97.66666666666667,0.47140452079103334
9752,2011,2,11,7,111,9752,100.66666666666667,3.3993463423951895
9754,2011,2,11,9,239,9754,98.33333333333333,12.11977264179856
9770,2011,2,12,1,12,9770,8.333333333333334,0.9428090415820636
9772,2011,2,12,3,17,9772,10,2.160246899469287
9777,2011,2,12,8,16,9777,10.666666666666666,0.9428090415820636
9778,2011,2,12,9,21,9778,12.666666666666666,2.4944382578492945
9781,2011,2,12,12,23,9781,21.333333333333332,0.4714045207910321
9782,2011,2,12,13,27,9782,22,0.816496580927726
9783,2011,2,12,14,34,9783,24,2.160246899469287
9784,2011,2,12,15,49,9784,28,4.546060565661952
9791,2011,2,12,22,47,9791,40.333333333333336,0.9428090415820629
9792,2011,2,12,23,58,9792,42.333333333333336,3.399346342395189
9803,2011,2,13,10,82,9803,70,1.4142135623730951
9810,2011,2,13,17,92,9810,84.66666666666667,1.8856180831641285
9811,2011,2,13,18,104,9811,86.66666666666667,4.1096093353126495
9822,2011,2,14,5,10,9822,7.666666666666667,0.4714045207910318
9824,2011,2,14,7,22,9824,9.333333333333334,1.6996731711975948
9825,2011,2,14,8,33,9825,14.333333333333334,5.436502143433363
9832,2011,2,14,15,46,9832,25.333333333333332,2.4944382578492945
9838,2011,2,14,21,61,9838,41.666666666666664,3.0912061651652354
9839,2011,2,14,22,77,9839,49,8.831760866327848
9842,2011,2,15,1,125,9842,89.33333333333333,10.208928554075705
9843,2011,2,15,2,154,9843,105.33333333333333,14.88474237451074
9851,2011,2,15,10,181,9851,131.33333333333334,14.974051630144132
9860,2011,2,15,19,254,9860,212.66666666666666,2.8674417556808756
9861,2011,2,15,20,301,9861,225.33333333333334,20.33606539022619
9875,2011,2,16,10,285,9875,263.3333333333333,4.496912521077347
9878,2011,2,16,13,292,9878,282.6666666666667,1.6996731711975996
9885,2011,2,16,20,240,9885,205.66666666666666,9.741092797468307
9890,2011,2,17,1,327,9890,283.6666666666667,7.318166133366709
9908,2011,2,17,19,80,9908,48,4.546060565661952
9909,2011,2,17,20,188,9909,58.333333333333336,15.965240019770729
9910,2011,2,17,21,288,9910,107,58.32666628567074
9927,2011,2,18,14,101,9927,50.333333333333336,0.4714045207910321
9930,2011,2,18,17,206,9930,122.66666666666667,16.21384867602041
9938,2011,2,19,1,274,9938,262,1.632993161855452
9954,2011,2,19,17,153,9954,128.33333333333334,1.8856180831641234
9955,2011,2,19,18,174,9955,137,11.430952132988164
9956,2011,2,19,19,221,9956,152.66666666666666,17.556258776351594
9961,2011,2,20,0,288,9961,271.3333333333333,2.357022603955152
9964,2011,2,20,3,355,9964,295,5.0990195135927845
9971,2011,2,20,10,156,9971,115.66666666666667,7.586537784494027
9972,2011,2,20,11,282,9972,131.66666666666666,18.006171781426012
9985,2011,2,21,0,527,9985,479.6666666666667,2.0548046676563247
9989,2011,2,21,4,595,9989,498,12.355835328567093
10031,2011,2,22,22,401,10031,395.3333333333333,1.247219128924646
10032,2011,2,22,23,406,10032,397.6666666666667,2.494438257849288
10036,2011,2,23,3,461,10036,389.3333333333333,11.614167593456234
10047,2011,2,23,14,469,10047,403.3333333333333,2.0548046676563314
10052,2011,2,23,19,436,10052,393.3333333333333,4.49691252107735
10070,2011,2,24,13,23,10070,15.333333333333334,1.6996731711975948
10076,2011,2,24,19,41,10076,24.333333333333332,2.867441755680875
10078,2011,2,24,21,142,10078,38,12.832251036613439
10083,2011,2,25,2,67,10083,54.333333333333336,0.9428090415820642
10088,2011,2,25,7,106,10088,77.33333333333333,2.054804667656327
10100,2011,2,25,19,61,10100,48,3.7416573867739413
10101,2011,2,25,20,78,10101,50.666666666666664,7.408703590297624
10111,2011,2,26,6,44,10111,33.666666666666664,2.62466929133727
10114,2011,2,26,9,71,10114,51.333333333333336,5.73488351136175
10121,2011,2,26,16,111,10121,87,6.683312551921141
10151,2011,2,27,22,32,10151,29,0
10169,2011,2,28,16,15,10169,12,0
10170,2011,2,28,17,20,10170,13,1.4142135623730951
10177,2011,3,1,0,12,10177,7.666666666666667,0.4714045207910316
10181,2011,3,1,4,17,10181,9.666666666666666,0.9428090415820636
10185,2011,3,1,8,17,10185,10.666666666666666,1.2472191289246473
10188,2011,3,1,11,28,10188,18.333333333333332,1.247219128924647
10196,2011,3,1,19,28,10196,15.333333333333334,1.2472191289246473
10197,2011,3,1,20,80,10197,19,6.377042156569663
10207,2011,3,2,6,29,10207,12.666666666666666,1.699673171197595
10208,2011,3,2,7,44,10208,18.666666666666668,7.408703590297622
10218,2011,3,2,17,49,10218,19.333333333333332,9.285592184789413
10220,2011,3,2,19,69,10220,40.333333333333336,6.944222218666553
10232,2011,3,3,7,10,10232,8.333333333333334,0.47140452079103146
10233,2011,3,3,8,13,10233,9,0.816496580927726
10235,2011,3,3,10,26,10235,12,1.4142135623730951
10246,2011,3,3,21,37,10246,9.666666666666666,0.9428090415820636
10249,2011,3,4,0,43,10249,37.666666666666664,1.6996731711975956
10254,2011,3,4,5,52,10254,45.666666666666664,0.4714045207910321
10255,2011,3,4,6,69,10255,47.666666666666664,3.0912061651652354
10256,2011,3,4,7,105,10256,55.666666666666664,9.741092797468307
10269,2011,3,4,20,91,10269,60.333333333333336,5.557777333511022
10277,2011,3,5,4,74,10277,59.666666666666664,2.624669291337271
10282,2011,3,5,9,91,10282,79.33333333333333,2.054804667656325
10287,2011,3,5,14,136,10287,108,1.4142135623730951
10292,2011,3,5,19,108,10292,91.33333333333333,0.9428090415820642
10293,2011,3,5,20,122,10293,96.66666666666667,8.05536398239638
10303,2011,3,6,6,24,10303,12.666666666666666,0.9428090415820632
10325,2011,3,7,4,11,10325,9,0
10326,2011,3,7,5,20,10326,10,1
10333,2011,3,7,12,19,10333,15.666666666666666,0.9428090415820632
10342,2011,3,7,21,46,10342,16,5.715476066494082
10351,2011,3,8,6,18,10351,12.666666666666666,1.2472191289246473
10353,2011,3,8,8,21,10353,16,1.632993161855452
10373,2011,3,9,4,9,10373,6.666666666666667,0.4714045207910316
10375,2011,3,9,6,19,10375,8.666666666666666,1.2472191289246473
10376,2011,3,9,7,31,10376,12.666666666666666,4.4969125210773475
10384,2011,3,9,15,24,10384,16,0.816496580927726
10389,2011,3,9,20,34,10389,14,2.8284271247461903
10392,2011,3,9,23,46,10392,35,0.816496580927726
10393,2011,3,10,0,66,10393,39,4.96655480858378
10396,2011,3,10,3,79,10396,58.333333333333336,6.128258770283412
10401,2011,3,10,8,112,10401,76.33333333333333,4.784233364802443
10425,2011,3,11,8,85,10425,27.333333333333332,1.8856180831641272
10433,2011,3,11,16,116,10433,86.66666666666667,6.236095644623234
10436,2011,3,11,19,132,10436,111.33333333333333,3.3993463423951886
10437,2011,3,11,20,156,10437,116.66666666666667,10.873004286866726
10439,2011,3,11,22,196,10439,151.33333333333334,14.267289706021796
10441,2011,3,12,0,263,10441,190.33333333333334,18.006171781426005
10447,2011,3,12,6,274,10447,262.3333333333333,3.299831645537227
10459,2011,3,12,18,272,10459,226,1.4142135623730951
10461,2011,3,12,20,367,10461,257.3333333333333,20.741798914805397
10467,2011,3,13,2,400,10467,372,8.524474568362947
10497,2011,3,14,8,12,10497,8,0
10498,2011,3,14,9,21,10498,9.333333333333334,1.8856180831641265
10505,2011,3,14,16,25,10505,22,0.816496580927726
10518,2011,3,15,5,11,10518,9,0
10519,2011,3,15,6,14,10519,9.666666666666666,0.9428090415820636
10522,2011,3,15,9,16,10522,13,0.816496580927726
10535,2011,3,15,22,23,10535,16,1.632993161855452
10546,2011,3,16,9,33,10546,22,2.160246899469287
10550,2011,3,16,13,45,10550,29.333333333333332,2.494438257849294
10556,2011,3,16,19,79,10556,32.666666666666664,8.01387685344754
10557,2011,3,16,20,117,10557,50,21.64871050817269
10561,2011,3,17,0,105,10561,78.66666666666667,8.379870059984354
10571,2011,3,17,10,115,10571,104,2.449489742783178
10573,2011,3,17,12,132,10573,110.66666666666667,6.847546194724711
10581,2011,3,17,20,126,10581,95,3.7416573867739413
10675,2011,3,21,18,28,10675,13,0
10687,2011,3,22,6,15,10687,8.666666666666666,0.4714045207910318
